iter	Logloss
0	0.6676510961
1	0.645849021
2	0.622539445
3	0.5990184839
4	0.5807498444
5	0.5648380154
6	0.5468604278
7	0.5299425654
8	0.5097359949
9	0.4926204459
10	0.4788111184
11	0.4626933136
12	0.4510202337
13	0.4312084233
14	0.4191093427
15	0.4057452497
16	0.3946280053
17	0.3818287497
18	0.3711188659
19	0.36000827
20	0.3464301441
21	0.3350483364
22	0.3235295869
23	0.3130736211
24	0.3064399884
25	0.2959676357
26	0.2878220273
27	0.2778810395
28	0.2683290219
29	0.2599957841
30	0.2521101546
31	0.2451584101
32	0.2394788663
33	0.2331770026
34	0.227325891
35	0.2215899322
36	0.2148060866
37	0.2098586068
38	0.2030739601
39	0.1991604482
40	0.1957119583
41	0.1913690705
42	0.188068094
43	0.1827120314
44	0.1802874752
45	0.1768098597
46	0.173469612
47	0.1676345962
48	0.1634013582
49	0.1587659248
50	0.1536758283
51	0.1493799531
52	0.1444267969
53	0.1404631997
54	0.1372369517
55	0.1346604704
56	0.1314082781
57	0.1280994852
58	0.1247002277
59	0.1222136272
60	0.1203879236
61	0.1170872523
62	0.1140443708
63	0.1121522519
64	0.1097131441
65	0.1077601246
66	0.105507954
67	0.1026369347
68	0.1018012425
69	0.1000238617
70	0.09758307067
71	0.0954647434
72	0.09335452369
73	0.09153406807
74	0.08959470684
75	0.08761153991
76	0.08638619645
77	0.08508428836
78	0.08313001223
79	0.08176192364
80	0.08049945848
81	0.07921118176
82	0.07766387266
83	0.07675971957
84	0.07537436306
85	0.07413700204
86	0.07285274261
87	0.07218257713
88	0.07104932931
89	0.07007822874
90	0.06936825603
91	0.06831369231
92	0.06766995158
93	0.06698178274
94	0.06566525247
95	0.06478099892
96	0.06367010603
97	0.06259750909
98	0.06171857159
99	0.06085258155
100	0.06004337691
101	0.05921961433
102	0.05838541216
103	0.05782201043
104	0.05721776904
105	0.05668856289
106	0.05614486567
107	0.05530106248
108	0.05454721959
109	0.05402236199
110	0.05339762198
111	0.05275601777
112	0.0521106989
113	0.05199606388
114	0.05150443486
115	0.0509765556
116	0.05059777421
117	0.04997099815
118	0.04947470919
119	0.04894760936
120	0.04835727384
121	0.04791239542
122	0.0475745595
123	0.04712521448
124	0.04673143688
125	0.04627253992
126	0.04618624276
127	0.04554570395
128	0.04498828524
129	0.04436567386
130	0.04394409635
131	0.04350729602
132	0.04310364662
133	0.04262028434
134	0.0420690039
135	0.04150768756
136	0.04108910464
137	0.04059022115
138	0.04020529344
139	0.03972866495
140	0.03940717136
141	0.03918611526
142	0.03880356985
143	0.03841506636
144	0.03806393024
145	0.03804460033
146	0.03804459962
147	0.03775854433
148	0.03752835079
149	0.03745515145
150	0.03744618858
151	0.03718592214
152	0.03718227678
153	0.03708927995
154	0.03661765836
155	0.03660924958
156	0.03643879462
157	0.03643797541
158	0.03641583979
159	0.03640906288
160	0.03606676667
161	0.03576963982
162	0.03552884392
163	0.03551761165
164	0.03531710228
165	0.03510214241
166	0.03509460316
167	0.03484411144
168	0.03449698118
169	0.03449581522
170	0.03439463776
171	0.03430347586
172	0.03404123245
173	0.03397988158
174	0.03394578716
175	0.03364299711
176	0.0335447472
177	0.03327435738
178	0.03321883355
179	0.03319589277
180	0.03281821087
181	0.03263275426
182	0.03240573371
183	0.03235785189
184	0.03235511591
185	0.03235279547
186	0.032352773
187	0.03230401866
188	0.03207256668
189	0.03187268547
190	0.0315812376
191	0.0314090709
192	0.03139630724
193	0.03122179735
194	0.03103408543
195	0.03087113886
196	0.03067489157
197	0.03055879771
198	0.03055381328
199	0.03046120306
200	0.03045561282
201	0.0301525317
202	0.02993999564
203	0.02985094665
204	0.02983592187
205	0.02958018339
206	0.02929160226
207	0.0291706018
208	0.02916891372
209	0.02916255493
210	0.02916226941
211	0.02916008611
212	0.02915868294
213	0.02888582139
214	0.02872270865
215	0.02850472103
216	0.02850135022
217	0.02829638499
218	0.02823482807
219	0.0282341129
220	0.02820425449
221	0.02809053446
222	0.02804753418
223	0.02804321383
224	0.02795139249
225	0.02780143369
226	0.02777067112
227	0.02777066839
228	0.02761992652
229	0.0276199239
230	0.02761992233
231	0.02761438372
232	0.02743750691
233	0.02717494521
234	0.02708192882
235	0.02695409837
236	0.02695224227
237	0.02694515953
238	0.02675049964
239	0.02659340773
240	0.02648524319
241	0.02646337572
242	0.02641565511
243	0.02640598785
244	0.02628454131
245	0.02628171842
246	0.02625891915
247	0.02618039363
248	0.02603144786
249	0.02602632489
250	0.02600200264
251	0.02598075457
252	0.02589993208
253	0.02575188003
254	0.02574889503
255	0.02565676753
256	0.02552250625
257	0.02542520706
258	0.02542341959
259	0.02539888858
260	0.02521996016
261	0.02514024153
262	0.0249997582
263	0.02498848121
264	0.02489292217
265	0.02474550573
266	0.02462638153
267	0.02461944525
268	0.0243837028
269	0.02437230554
270	0.02422826061
271	0.02415486932
272	0.02410651312
273	0.02406986915
274	0.02406721993
275	0.024044609
276	0.02393407187
277	0.02386371662
278	0.02383929754
279	0.0237322968
280	0.02367865136
281	0.0236786506
282	0.02356471982
283	0.02342340645
284	0.02341789489
285	0.02327587797
286	0.02326702014
287	0.02322935041
288	0.02318914514
289	0.02318791568
290	0.02307099111
291	0.0229034194
292	0.02287397183
293	0.02280096893
294	0.02265436926
295	0.02253248867
296	0.0224549755
297	0.02245107188
298	0.02239587695
299	0.02226410739
300	0.0222484624
301	0.02215818427
302	0.02215818426
303	0.02207410584
304	0.02205163463
305	0.02201276164
306	0.02195483002
307	0.02188692202
308	0.02180416167
309	0.02175781233
310	0.02159669754
311	0.02148879887
312	0.02147496109
313	0.02146688782
314	0.02136424156
315	0.02125179665
316	0.02110647225
317	0.02098189795
318	0.0208775668
319	0.02086732276
320	0.02075836395
321	0.02075398053
322	0.02073457437
323	0.02070867449
324	0.02070006416
325	0.02061389816
326	0.02060155616
327	0.02059817954
328	0.02044272149
329	0.02031716112
330	0.02029263739
331	0.02021601799
332	0.02012817437
333	0.02011534513
334	0.02000034379
335	0.02000033917
336	0.01992941172
337	0.0199033321
338	0.01986037925
339	0.01985887233
340	0.01977432835
341	0.01966966165
342	0.01966046491
343	0.01956058441
344	0.01956058325
345	0.01956057979
346	0.0195188482
347	0.01945057756
348	0.01944000438
349	0.01942469301
350	0.0193564727
351	0.01927006951
352	0.01922792303
353	0.01912041339
354	0.01905586002
355	0.01903101147
356	0.01896131745
357	0.01896130946
358	0.01885837633
359	0.01885837632
360	0.01877697598
361	0.01875786812
362	0.01875683605
363	0.01871316272
364	0.01862586726
365	0.0185484426
366	0.01851150569
367	0.01842582363
368	0.01836926399
369	0.01836825256
370	0.01826541078
371	0.01826367189
372	0.01821466507
373	0.01811381193
374	0.01798769267
375	0.01791636233
376	0.01788737678
377	0.01782729622
378	0.01776633673
379	0.01773797261
380	0.01766891552
381	0.01764397625
382	0.0175686874
383	0.01755962628
384	0.01746444785
385	0.01738471434
386	0.01733215211
387	0.01727090868
