iter	Passed	Remaining
207	505	1926
208	506	1918
209	510	1920
210	512	1915
211	513	1908
212	515	1903
213	517	1900
214	520	1900
215	522	1896
216	523	1890
217	525	1885
218	527	1881
219	528	1874
220	531	1872
221	533	1869
222	535	1865
223	536	1858
224	538	1855
225	540	1852
226	542	1847
227	544	1842
228	546	1838
229	547	1834
230	548	1827
231	550	1823
232	553	1822
233	555	1818
234	558	1817
235	560	1813
236	561	1806
237	562	1802
238	565	1799
239	567	1796
240	569	1794
241	571	1790
242	574	1789
243	577	1789
244	579	1785
245	581	1781
246	583	1777
247	585	1776
248	587	1772
249	589	1767
250	591	1764
251	593	1760
252	595	1757
253	597	1753
254	599	1750
255	601	1747
256	603	1744
257	605	1740
258	606	1734
259	608	1732
260	611	1731
261	613	1728
262	615	1725
263	617	1721
264	619	1719
265	621	1715
266	623	1712
267	625	1707
268	626	1703
269	628	1699
270	631	1700
271	633	1696
272	635	1692
273	637	1689
274	640	1688
275	642	1684
276	644	1681
277	646	1677
278	647	1674
279	650	1672
280	652	1670
281	653	1664
282	655	1660
283	657	1658
284	658	1653
285	661	1651
286	663	1647
287	665	1644
288	667	1641
289	668	1636
290	670	1633
291	673	1632
292	675	1628
293	677	1626
294	679	1622
295	681	1620
296	683	1616
297	685	1615
298	687	1611
299	690	1610
300	692	1607
301	694	1604
302	695	1598
303	697	1596
304	698	1592
305	701	1590
306	703	1587
307	705	1585
308	707	1582
309	709	1579
310	711	1576
311	713	1573
312	714	1569
313	716	1565
314	718	1562
315	720	1559
316	722	1556
317	724	1554
318	727	1552
319	729	1549
320	731	1548
321	734	1546
322	736	1543
323	738	1540
324	741	1540
325	743	1537
326	744	1532
327	746	1529
328	749	1527
329	751	1525
330	753	1521
331	754	1518
332	756	1516
333	758	1512
334	760	1509
335	761	1504
336	763	1501
337	765	1498
338	766	1495
339	768	1491
340	770	1488
341	773	1487
342	775	1484
343	777	1482
344	778	1478
345	780	1475
346	782	1472
347	785	1470
348	786	1467
349	788	1464
350	791	1462
351	792	1459
352	794	1456
353	796	1454
354	799	1452
355	801	1450
356	803	1447
357	804	1442
358	806	1439
359	807	1434
360	809	1432
361	811	1429
362	812	1425
363	814	1422
364	816	1420
365	818	1417
366	820	1414
367	822	1413
368	824	1410
369	826	1406
370	828	1404
371	830	1401
372	832	1399
373	834	1396
374	836	1394
375	838	1391
376	840	1388
377	842	1386
378	844	1383
379	846	1381
380	848	1378
381	850	1376
382	852	1373
383	855	1372
384	859	1372
385	861	1369
386	863	1367
387	865	1364
388	867	1362
389	870	1360
390	871	1358
391	873	1355
392	875	1352
393	877	1350
394	879	1347
395	881	1344
396	883	1342
397	885	1339
398	887	1337
399	889	1334
400	891	1331
401	893	1329
402	896	1327
403	898	1324
404	899	1322
405	900	1318
406	902	1315
407	904	1312
408	905	1309
409	907	1305
410	909	1302
411	911	1301
412	913	1298
413	914	1294
414	917	1292
415	918	1289
416	922	1289
417	924	1286
418	926	1284
419	928	1281
420	930	1279
421	932	1277
422	934	1274
423	936	1271
424	937	1269
425	939	1266
426	942	1265
427	945	1262
428	947	1260
429	949	1258
430	951	1256
431	954	1254
432	956	1253
433	958	1250
434	961	1248
435	963	1245
436	965	1243
437	967	1241
438	970	1240
439	972	1238
440	974	1235
441	977	1233
442	981	1234
443	983	1231
444	985	1228
445	986	1225
446	988	1222
447	990	1220
448	991	1217
449	994	1215
450	996	1213
451	998	1210
452	1000	1208
453	1002	1205
454	1005	1204
455	1008	1203
456	1011	1201
457	1013	1198
458	1015	1196
459	1017	1193
460	1018	1190
461	1020	1188
462	1022	1185
463	1024	1183
464	1027	1181
465	1029	1179
466	1031	1176
467	1032	1174
468	1034	1171
469	1036	1168
470	1038	1166
471	1041	1164
472	1043	1162
473	1044	1159
474	1046	1157
475	1048	1154
476	1050	1152
477	1053	1149
478	1055	1147
479	1057	1145
480	1058	1142
481	1060	1140
482	1062	1137
483	1064	1135
484	1066	1132
485	1068	1130
486	1071	1128
487	1073	1126
488	1075	1123
489	1077	1121
490	1079	1118
491	1081	1116
492	1083	1114
493	1085	1111
494	1087	1109
495	1088	1106
496	1090	1103
497	1092	1101
498	1094	1098
499	1096	1096
500	1098	1093
501	1100	1091
502	1102	1089
503	1104	1086
504	1106	1085
505	1108	1082
506	1110	1080
507	1112	1077
508	1114	1075
509	1116	1072
510	1118	1070
511	1120	1068
512	1121	1064
513	1123	1062
514	1125	1059
515	1127	1057
516	1129	1054
517	1131	1052
518	1133	1050
519	1135	1048
520	1138	1046
521	1140	1044
522	1142	1042
523	1145	1040
524	1147	1038
525	1149	1035
526	1151	1033
527	1152	1030
528	1155	1028
529	1157	1026
530	1159	1024
531	1161	1022
532	1164	1020
533	1167	1018
534	1170	1017
535	1172	1015
536	1174	1012
537	1177	1010
538	1179	1008
539	1180	1005
540	1183	1003
541	1184	1001
542	1187	999
543	1189	997
544	1192	995
545	1194	992
546	1197	991
547	1199	989
548	1202	987
549	1204	985
550	1206	983
551	1209	981
552	1210	978
553	1213	976
554	1215	974
555	1217	972
556	1219	970
557	1222	968
558	1223	965
559	1225	963
560	1227	960
561	1228	957
562	1230	955
563	1232	952
564	1234	950
565	1236	948
566	1238	945
567	1240	943
568	1242	940
569	1242	937
570	1244	935
571	1246	932
572	1249	931
573	1251	928
574	1253	926
575	1255	924
576	1258	922
577	1260	920
578	1262	918
579	1263	915
580	1265	912
581	1267	910
582	1269	908
583	1272	906
584	1274	904
585	1275	901
586	1277	899
587	1279	896
588	1282	894
589	1284	892
590	1286	890
591	1288	888
592	1290	885
593	1291	882
594	1294	880
595	1297	879
596	1299	877
597	1302	875
598	1304	873
599	1306	870
600	1308	868
601	1310	866
602	1312	864
603	1314	861
604	1316	859
605	1318	857
606	1321	855
607	1322	852
608	1324	850
609	1326	848
610	1328	845
611	1330	843
612	1333	841
613	1335	839
614	1336	836
615	1337	833
616	1339	831
617	1341	829
618	1343	826
619	1344	824
620	1347	822
621	1349	820
622	1352	818
623	1353	815
624	1356	813
625	1358	811
626	1360	809
627	1363	807
628	1365	805
629	1368	803
630	1370	801
631	1371	798
632	1374	796
633	1376	794
634	1378	792
635	1379	789
636	1381	787
637	1383	784
638	1385	782
639	1387	780
640	1390	778
641	1392	776
642	1394	774
643	1396	771
644	1398	769
645	1401	767
646	1403	765
647	1405	763
648	1407	761
649	1408	758
650	1410	756
651	1412	754
652	1414	751
653	1416	749
654	1418	747
655	1420	744
656	1421	742
657	1423	740
658	1425	737
659	1427	735
660	1429	733
661	1432	731
662	1433	728
663	1435	726
664	1438	724
665	1440	722
666	1441	719
667	1444	717
668	1446	715
669	1447	713
670	1450	711
671	1452	708
672	1454	706
673	1456	704
674	1458	702
675	1460	699
676	1462	697
677	1464	695
678	1465	693
679	1468	690
680	1470	688
681	1471	686
682	1474	684
683	1475	681
684	1477	679
685	1479	677
686	1481	675
687	1484	672
688	1486	670
689	1488	668
690	1490	666
691	1492	664
692	1494	662
693	1496	659
694	1498	657
695	1500	655
696	1501	652
697	1504	650
698	1506	648
699	1508	646
700	1510	644
701	1512	642
702	1515	640
703	1517	637
704	1519	635
705	1521	633
706	1523	631
707	1525	629
708	1527	626
709	1529	624
710	1531	622
711	1533	620
712	1535	618
713	1537	615
714	1540	613
715	1542	611
716	1543	609
717	1545	607
718	1547	604
719	1549	602
720	1551	600
721	1553	598
722	1555	596
723	1557	593
724	1559	591
725	1562	589
726	1564	587
727	1565	584
728	1567	582
729	1568	580
730	1570	577
731	1572	575
732	1575	573
733	1577	571
734	1580	569
735	1582	567
736	1584	565
737	1586	563
738	1588	561
739	1590	558
740	1592	556
741	1594	554
742	1596	552
743	1599	550
744	1601	548
745	1603	545
746	1605	543
747	1607	541
748	1609	539
749	1612	537
750	1613	535
751	1615	532
752	1617	530
753	1619	528
754	1621	526
755	1623	524
756	1626	522
757	1628	520
758	1631	517
759	1633	515
760	1635	513
761	1636	511
762	1638	508
763	1639	506
764	1641	504
765	1643	501
766	1645	499
767	1647	497
768	1649	495
769	1650	493
770	1652	490
771	1654	488
772	1656	486
773	1659	484
774	1662	482
775	1664	480
776	1666	478
777	1667	475
778	1669	473
779	1671	471
780	1673	469
781	1675	467
782	1677	464
783	1679	462
784	1682	460
785	1684	458
786	1687	456
787	1689	454
788	1691	452
789	1693	450
790	1695	447
791	1697	445
792	1699	443
793	1701	441
794	1703	439
795	1705	437
796	1707	434
797	1709	432
798	1711	430
799	1713	428
800	1715	426
801	1717	423
802	1719	421
803	1721	419
804	1722	417
805	1724	415
806	1727	413
807	1729	411
808	1732	408
809	1733	406
810	1735	404
811	1737	402
812	1739	400
813	1741	397
814	1742	395
815	1744	393
816	1746	391
817	1748	389
818	1750	386
819	1752	384
820	1754	382
821	1756	380
822	1758	378
823	1760	376
824	1762	373
825	1765	371
826	1766	369
827	1769	367
828	1771	365
829	1773	363
830	1774	360
831	1776	358
832	1778	356
833	1780	354
834	1782	352
835	1785	350
836	1787	348
837	1789	345
838	1791	343
839	1793	341
840	1796	339
841	1798	337
842	1800	335
843	1802	333
844	1804	330
845	1806	328
846	1807	326
847	1810	324
848	1812	322
849	1813	320
850	1815	317
851	1817	315
852	1819	313
853	1821	311
854	1823	309
855	1825	307
856	1827	304
857	1830	302
858	1832	300
859	1834	298
860	1836	296
861	1838	294
862	1839	292
863	1842	290
864	1844	287
865	1847	285
866	1849	283
867	1850	281
868	1852	279
869	1855	277
870	1857	275
871	1859	272
872	1861	270
873	1863	268
874	1866	266
875	1868	264
876	1870	262
877	1871	260
878	1873	257
879	1875	255
880	1877	253
881	1880	251
882	1881	249
883	1883	247
884	1885	245
885	1887	242
886	1889	240
887	1891	238
888	1893	236
889	1895	234
890	1897	232
891	1900	230
892	1901	227
893	1903	225
894	1906	223
895	1908	221
896	1910	219
897	1912	217
898	1914	215
899	1916	212
900	1919	210
901	1921	208
902	1923	206
903	1926	204
904	1928	202
905	1930	200
906	1932	198
907	1935	196
908	1936	193
909	1938	191
910	1940	189
911	1942	187
912	1944	185
913	1946	183
914	1948	180
915	1950	178
916	1952	176
917	1954	174
918	1956	172
919	1958	170
920	1960	168
921	1962	166
922	1964	163
923	1967	161
924	1969	159
925	1971	157
926	1973	155
927	1974	153
928	1976	151
929	1978	148
930	1980	146
931	1981	144
932	1983	142
933	1985	140
934	1987	138
935	1989	136
936	1991	133
937	1993	131
938	1995	129
939	1997	127
940	1998	125
941	2000	123
942	2003	121
943	2004	118
944	2006	116
945	2008	114
946	2010	112
947	2013	110
948	2014	108
949	2016	106
950	2018	104
951	2020	101
952	2022	99
953	2024	97
954	2026	95
955	2028	93
956	2030	91
957	2032	89
958	2034	86
959	2035	84
960	2037	82
961	2039	80
962	2041	78
963	2043	76
964	2044	74
965	2046	72
966	2048	69
967	2050	67
968	2052	65
969	2055	63
970	2057	61
971	2059	59
972	2061	57
973	2062	55
974	2064	52
975	2066	50
976	2068	48
977	2070	46
978	2072	44
979	2074	42
980	2076	40
981	2078	38
982	2080	35
983	2082	33
984	2083	31
985	2085	29
986	2088	27
987	2090	25
988	2092	23
989	2094	21
990	2096	19
991	2098	16
992	2100	14
993	2102	12
994	2103	10
995	2105	8
996	2107	6
997	2109	4
998	2110	2
999	2112	0
